"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Управление книгами","2","0","Возврат книги","0"
"0","","0","Управление книгами","2","0","Выдача книги","0"
"0","","0","Система библиотеки","3","0","Поиск","0"
"0","","0","Система библиотеки","7","0","Выдача/возврат","0"
"0","","0","Система библиотеки","2","0","Удаление пользователей","0"
"0","","0","Система библиотеки","4","0","Добавление/удаление книг","0"
"0","","0","Управление пользователями","1","0","Регистрация и выдача","0"
"0","","0","Система библиотеки","2","0","Регистрация пользователей","0"
"0","","0","Система библиотеки","1","0","Вспомогательное","0"
"0","","0","Система библиотеки","4","0","Запросы","0"
"0","","0","Управление пользователями","2","0","Возврат пользователем","0"
"0","","0","Управление книгами","1","0","Создание и просмотр книг","0"
"0","","0","Управление пользователями","2","0","Выдача пользователю","0"
"0","","0","Система библиотеки","1","0","Пустая библиотека","0"
